,PRICE,PRICE_RATING
390,750.00,4.0
391,750.00,5.0
392,750.00,5.0
393,750.00,5.0
394,750.00,5.0
395,750.00,4.0
396,750.00,5.0
397,750.00,4.0
398,750.00,4.0
399,750.00,5.0
400,750.00,5.0
401,750.00,5.0
402,750.00,5.0
403,750.00,4.0
404,750.00,4.0
405,750.00,5.0
406,750.00,5.0
407,750.00,5.0
408,750.00,4.0
409,750.00,5.0
410,750.00,4.0
411,750.00,5.0
412,598.00,5.0
413,598.00,5.0
414,598.00,5.0
415,598.00,5.0
416,598.00,5.0
417,598.00,5.0
418,598.00,5.0
419,598.00,5.0
420,598.00,4.0
421,598.00,5.0
422,598.00,5.0
423,598.00,4.0
424,598.00,5.0
425,598.00,4.0
426,598.00,5.0
427,598.00,5.0
428,598.00,5.0
429,598.00,5.0
430,598.00,5.0
431,598.00,5.0
432,598.00,5.0
433,598.00,5.0
434,598.00,5.0
436,449.00,5.0
437,449.00,5.0
438,449.00,5.0
439,449.00,5.0
440,449.00,5.0
441,449.00,5.0
442,449.00,5.0
443,449.00,5.0
445,449.00,5.0
446,449.00,5.0
447,449.00,5.0
448,449.00,5.0
449,199.00,5.0
450,199.00,5.0
451,199.00,5.0
452,199.00,5.0
453,199.00,5.0
454,199.00,5.0
455,199.00,5.0
456,199.00,4.0
457,199.00,5.0
458,199.00,5.0
459,199.00,4.0
460,199.00,5.0
461,199.00,4.0
462,199.00,5.0
463,199.00,5.0
464,199.00,4.0
465,199.00,5.0
466,199.00,5.0
467,199.00,5.0
468,199.00,5.0
469,199.00,5.0
470,199.00,4.0
471,199.00,5.0
472,199.00,5.0
473,199.00,5.0
474,199.00,5.0
475,199.00,5.0
476,199.00,5.0
477,199.00,5.0
478,199.00,4.0
479,199.00,5.0
480,199.00,5.0
481,199.00,4.0
482,199.00,5.0
483,199.00,5.0
484,199.00,5.0
485,199.00,5.0
486,199.00,5.0
487,199.00,5.0
488,199.00,5.0
489,249.00,5.0
490,249.00,5.0
491,249.00,5.0
492,249.00,5.0
493,249.00,5.0
494,249.00,5.0
495,249.00,5.0
496,249.00,5.0
497,249.00,5.0
498,249.00,5.0
499,249.00,5.0
500,249.00,5.0
501,249.00,5.0
502,249.00,5.0
503,399.00,5.0
504,399.00,5.0
505,399.00,4.0
506,399.00,5.0
507,399.00,5.0
508,399.00,4.0
509,399.00,4.0
510,399.00,4.0
511,399.00,4.0
512,399.00,5.0
513,399.00,5.0
514,399.00,5.0
515,399.00,5.0
516,399.00,4.0
517,399.00,5.0
518,399.00,5.0
519,399.00,5.0
520,399.00,5.0
521,399.00,1.0
522,399.00,5.0
523,399.00,5.0
524,349.00,5.0
525,349.00,5.0
526,349.00,4.0
527,349.00,5.0
528,349.00,5.0
529,349.00,5.0
530,349.00,5.0
531,349.00,5.0
532,349.00,5.0
533,349.00,4.0
534,349.00,4.0
535,349.00,4.0
536,349.00,4.0
537,349.00,4.0
538,349.00,5.0
539,349.00,4.0
540,349.00,4.0
541,349.00,4.0
542,349.00,4.0
543,349.00,5.0
544,349.00,5.0
545,349.00,5.0
546,349.00,4.0
547,349.00,4.0
548,349.00,4.0
549,349.00,5.0
550,349.00,5.0
551,349.00,4.0
552,349.00,4.0
553,349.00,5.0
554,349.00,4.0
555,349.00,4.0
556,349.00,5.0
557,349.00,5.0
558,349.00,5.0
559,349.00,4.0
560,349.00,5.0
561,349.00,5.0
562,349.00,5.0
563,349.00,4.0
564,349.00,5.0
565,349.00,5.0
566,349.00,4.0
567,349.00,4.0
568,349.00,5.0
569,349.00,5.0
570,349.00,5.0
571,349.00,4.0
572,349.00,4.0
573,349.00,4.0
574,349.00,5.0
575,349.00,5.0
576,349.00,4.0
577,349.00,5.0
578,349.00,5.0
579,349.00,5.0
580,349.00,5.0
581,349.00,5.0
582,349.00,4.0
583,349.00,5.0
584,349.00,5.0
585,349.00,5.0
586,349.00,5.0
587,349.00,4.0
588,349.00,5.0
589,349.00,5.0
590,349.00,5.0
591,349.00,5.0
592,349.00,5.0
593,349.00,5.0
594,349.00,5.0
595,349.00,5.0
596,349.00,5.0
597,349.00,5.0
598,349.00,5.0
599,349.00,5.0
600,349.00,5.0
601,349.00,5.0
602,349.00,5.0
603,349.00,5.0
604,349.00,5.0
605,349.00,5.0
606,349.00,5.0
607,349.00,5.0
608,349.00,5.0
609,349.00,5.0
610,349.00,5.0
611,349.00,5.0
612,349.00,5.0
613,349.00,5.0
614,349.00,5.0
615,349.00,5.0
616,349.00,5.0
617,349.00,5.0
618,349.00,5.0
619,349.00,5.0
620,349.00,5.0
621,349.00,5.0
622,349.00,5.0
623,349.00,5.0
624,349.00,5.0
625,349.00,5.0
626,349.00,5.0
627,349.00,5.0
628,349.00,5.0
629,349.00,5.0
630,349.00,5.0
631,349.00,5.0
632,349.00,5.0
633,349.00,5.0
634,349.00,5.0
635,349.00,5.0
636,349.00,5.0
637,349.00,5.0
638,349.00,5.0
639,349.00,5.0
640,349.00,5.0
641,349.00,5.0
642,349.00,4.0
643,349.00,5.0
644,349.00,4.0
645,349.00,5.0
646,349.00,5.0
647,349.00,5.0
648,349.00,4.0
649,349.00,4.0
650,349.00,4.0
651,349.00,4.0
652,349.00,5.0
653,349.00,4.0
654,349.00,5.0
655,349.00,5.0
656,349.00,5.0
657,349.00,5.0
658,349.00,5.0
659,349.00,5.0
660,349.00,5.0
661,349.00,5.0
662,349.00,5.0
663,349.00,4.0
664,349.00,5.0
665,349.00,5.0
666,349.00,5.0
667,349.00,5.0
